"Abbr","Name","Women","Men","Total","Ind","Relays","Total","Women","Men","Combined"
"TRB","Team Redbird","1","0","1","6","0","6","54","0","54"
"TNAQ","Tennessee Aquati","2","2","4","16","0","16","44","0","44"
"TERR","Terrapin Masters","5","7","12","55","5","60","116","71","193"
"THT","Terre Haute Torp","1","0","1","4","0","4","3","0","3"
"TCSC","The Cincinnati S","1","2","3","16","0","16","4","2","6"
"TOC","The Olympic Club","8","14","22","123","11","134","281","521","900"
"TIDE","Tide Swimming","0","1","1","4","0","4","0","0","0"
"TIKI","Tiki Torpedoes","0","5","5","27","2","29","0","48","48"
"TM","Trailblazer Mast","2","0","2","12","0","12","24","0","24"
"TCAS","Tri-City Atomic","1","0","1","4","0","4","0","0","0"
"TFY","Trotter Family Y","1","0","1","5","0","5","43","0","43"
"TULS","Tulsa Masters Sw","2","0","2","6","0","6","9","0","9"
"TVM","TVM Swimming","1","0","1","3","0","3","1","0","1"
"UC02","UC02","2","2","4","10","0","10","26","1","27"
"UC03","UC03","0","2","2","7","0","7","0","44","44"
"UC04","UC04","2","1","3","11","0","11","23","0","23"
"UC05","UC05","1","1","2","4","0","4","4","0","4"
"UC06","UC06","4","4","8","30","0","30","57","7","64"
"UC07","UC07","2","2","4","18","0","18","3","11","14"
"UC08","UC08","3","5","8","26","0","26","23","8","31"
"UC09","UC09","2","0","2","12","0","12","14","0","14"
"UC10","UC10","1","6","7","21","0","21","3","15","18"
"UC11","UC11","3","2","5","26","0","26","36","0","36"
"UC12","UC12","2","3","5","18","0","18","0","19","19"
"UC13","UC13","0","2","2","9","0","9","0","15","15"
"UC14","UC14","4","8","12","38","0","38","9","51","60"
"UC15","UC15","1","3","4","20","0","20","0","37","37"
"UC16","UC16","8","16","24","77","0","77","32","34","66"
"UC17","UC17","10","7","17","53","0","53","37","41","78"
"UC18","UC18","1","1","2","5","0","5","11","6","17"
"UC19","UC19","2","2","4","11","0","11","0","1","1"
"UC21","UC21","7","8","15","55","0","55","28","36","64"
"UC22","UC22","0","1","1","5","0","5","0","8","8"
"UC23","UC23","0","1","1","3","0","3","0","6","6"
"UC25","UC25","0","3","3","10","0","10","0","58","58"
"UC26","UC26","0","4","4","10","0","10","0","0","0"
"UC27","UC27","0","2","2","7","0","7","0","22","22"
"UC28","UC28","1","0","1","3","0","3","0","0","0"
"UC29","UC29","1","2","3","16","0","16","19","23","42"
"UC30","UC30","3","6","9","31","0","31","3","13","16"
"UC32","UC32","3","3","6","26","0","26","62","12","74"
"UC33","UC33","1","4","5","19","0","19","3","18","21"
"UC35","UC35","0","1","1","6","0","6","0","0","0"
"UC36","UC36","0","3","3","9","0","9","0","2","2"
"UC37","UC37","0","2","2","11","0","11","0","1","1"
"UC38","UC38","2","8","10","35","0","35","11","59","70"
"UC39","UC39","0","1","1","5","0","5","0","1","1"
"UC40","UC40","1","2","3","12","0","12","1","0","1"
"UC41","UC41","0","2","2","7","0","7","0","0","0"
"UC42","UC42","3","0","3","9","0","9","11","0","11"
"UC43","UC43","0","1","1","4","0","4","0","18","18"
"UC45","UC45","2","1","3","12","0","12","7","0","7"
"UC48","UC48","0","2","2","12","0","12","0","14","14"
"UC50","UC50","0","1","1","4","0","4","0","0","0"
"UC52","UC52","1","0","1","2","0","2","0","0","0"
"UC55","UC55","0","4","4","18","0","18","0","0","0"
"UCLA","UCLA Bruin Maste","0","1","1","6","0","6","0","0","0"
"UHM","University of Ha","1","0","1","4","0","4","5","0","5"
"USF","University of Sa","2","0","2","11","0","11","4","0","4"
"UAR","Up and Running S","2","0","2","10","0","10","23","0","23"
"VALPM","Valpo Masters","2","2","4","14","0","14","0","0","0"
"VCM","Ventura County M","1","1","2","11","0","11","0","17","17"
"VMAS","Villagers Master","4","1","5","25","2","27","63","20","83"
"VMST","Virginia Masters","1","8","9","32","2","34","18","22","40"
"VLVM","Viva Las Vegas M","1","0","1","5","0","5","1","0","1"
"WCM","Walnut Creek Mas","2","2","4","13","0","13","0","19","19"
"WLOO","Waterloo Swimmin","1","2","3","18","0","18","0","8","8"
"WSC","Wellington Swim","1","0","1","5","0","5","0","0","0"
"WH2O","West Hollywood A","3","4","7","39","0","39","104","66","170"
"WIND","Wind-n-Sea Maste","0","1","1","6","0","6","0","45","45"
"WEST","Windsor Essex Ma","1","2","3","15","0","15","10","2","12"
"WISC","Wisconsin Master","42","55","97","422","52","474","542","794","1,490"
"WMST","Woodlands Master","1","2","3","18","0","18","1","0","1"
"CBRY","YMCA Of Bucks &","1","2","3","7","0","7","6","14","20"
"DSMY","YMCA of Greater","7","2","9","47","0","47","80","12","92"
"YM","Yonkers Masters","0","1","1","6","0","6","0","0","0"
"YYMS","York YMCA","0","2","2","10","0","10","0","24","24"
"ZAM","Zionsville Aquat","3","4","7","24","0","24","0","14","14"
